epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1903.55,0.26355,0.35175,1.00368,0.87055,0.90792,0.92333,0.75053,0.78646,0.59657,1.50955,6.60945e-05,6.60945e-05,6.60945e-05
87,1925.44,0.2487,0.33238,0.99361,0.89822,0.86403,0.92613,0.75514,0.77755,0.61921,1.48231,6.19662e-05,6.19662e-05,6.19662e-05
88,1948.15,0.24188,0.32866,0.98571,0.86428,0.87921,0.91595,0.74803,0.76567,0.59447,1.50337,5.78379e-05,5.78379e-05,5.78379e-05
89,1970.93,0.25263,0.33277,0.99933,0.86684,0.8581,0.91055,0.74453,0.78367,0.67176,1.5049,5.37096e-05,5.37096e-05,5.37096e-05
90,1992.11,0.25074,0.34755,0.99718,0.86981,0.84338,0.90699,0.74312,0.76157,0.6378,1.4636,4.95813e-05,4.95813e-05,4.95813e-05
91,2015.95,0.20376,0.34365,1.0181,0.85599,0.85009,0.89113,0.73249,0.75878,0.67838,1.49052,4.5453e-05,4.5453e-05,4.5453e-05
92,2037.34,0.18388,0.257,1.00255,0.88622,0.85825,0.89594,0.72885,0.76063,0.63659,1.53148,4.13247e-05,4.13247e-05,4.13247e-05
93,2057.47,0.17307,0.2407,0.98649,0.89385,0.83725,0.89811,0.7334,0.79183,0.69368,1.53717,3.71964e-05,3.71964e-05,3.71964e-05
94,2078.85,0.17447,0.23394,0.99223,0.88059,0.85705,0.897,0.73698,0.78011,0.69504,1.52017,3.30681e-05,3.30681e-05,3.30681e-05
95,2100.24,0.16626,0.21716,0.97861,0.88135,0.83014,0.88601,0.72978,0.75767,0.68413,1.50894,2.89398e-05,2.89398e-05,2.89398e-05
96,2121.06,0.16713,0.22603,0.98493,0.84403,0.85211,0.88963,0.7332,0.7625,0.71321,1.50328,2.48115e-05,2.48115e-05,2.48115e-05
97,2142.87,0.16001,0.21869,0.98388,0.89794,0.84728,0.89959,0.73725,0.74944,0.65483,1.48567,2.06832e-05,2.06832e-05,2.06832e-05
98,2164.37,0.15454,0.21968,0.97542,0.88204,0.85375,0.90369,0.74454,0.75699,0.68628,1.51403,1.65549e-05,1.65549e-05,1.65549e-05
99,2184.96,0.15759,0.21801,0.97654,0.88034,0.85095,0.90303,0.74728,0.75603,0.67827,1.50081,1.24266e-05,1.24266e-05,1.24266e-05
100,2206.85,0.15183,0.20783,0.97319,0.87945,0.84431,0.90084,0.7369,0.74747,0.68363,1.50421,8.2983e-06,8.2983e-06,8.2983e-06
